"nid","title","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao"
2657,"NEW MASTER TINTAS LTDA EPP","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,"EXITO MONTAGENS E COMERCIO LTDA","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3853,"Cross do Brasil Soluções e tecnologia Eireli - EPP","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,"COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA","Ferragens e ferramentas","Madeiras","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,"Comercial de Gas Oeste Ltda","Combustíveis, gases e lubrificantes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,"FIANGRAF DISTRIBUIDORA DE PRODUTOS GRÁFICOS LTDA","Audiovisual","Informática (suprimentos)","Material e equipamento gráfico","Produtos químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,"MP DISTRIBUIDORA DE MATERIAIS LTDA EPP","Audiovisual","Chaveiro","Combustíveis, gases e lubrificantes","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Eletrodomésticos","Ferragens e ferramentas","Impressão gráfica","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Limpeza e higiene","Madeiras","Material de escritório e desenho (papelaria)","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material e equipamento de laboratório","Material e equipamento gráfico","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Mobiliário","Papéis e cartões","Plantas, mudas e insumos","Segurança e proteção","Uniformes",,,,,,,,,,,,,,,,,,,
2664,"MUNDO ELETRICO ENGECAP LTDA","Ferragens e ferramentas","Material elétrico","Material hidráulico","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,"S. L. GONÇALVES CADEIRAS EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,"CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP","Ferragens e ferramentas","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Plantas, mudas e insumos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,"Best System Indústria Gráfica Ltda - EPP","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,"GOLDEN DISTRIBUIDORA LTDA","Material de escritório e desenho (papelaria)","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,"Aro 12 Duplicação e Impressão em Mídia Digital Ltda","Impressão gráfica","Material e equipamento gráfico","Papéis e cartões","Serviço de áudio e vídeo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,"Dsystem Indústria Gráfica Ltda - EPP","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,"BRASLIMPO COMERCIAL LTDA.","Copa e cozinha","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Produtos químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,"PLATAFORMA COMPUTADORES LTDA","Informática (acessórios e equipamentos)","Informática (softwares)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,"PROJECTOR VIDEO SERVICE COM MANUT EQUIP MULT LTDA","Audiovisual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,"SERVIGRAF PRODUTOS E SERVIÇOS EPP","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Digitalização de textos","Encadernação de livros/revistas","Impressão gráfica","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,"IMPA INDÚSTRIA DE MÓVEIS PAULISTA LTDA - EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,"MAX CENTER MAT PARA CONSTRUÇÃO LTDA ME","Material elétrico","Material hidráulico","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,"NJG MÓVEIS E DECORAÇÕES LTDA - EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,"nova jmb comercial ltda","Material elétrico","Material hidráulico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,"Antonio de Freitas Filho – ME","Comunicação visual (banners, faixas, sinalização e placas de identificação)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,"JATO COMERCIO DE PRODUTOS INDUSTRIALIZADOS LTDA. EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,"ENVISION INDÚSTRIA DE PRODUTOS ELETRONICOS LTDA.","Informática (acessórios e equipamentos)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
