nid,title,ramo
2666,CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP,"Plantas, mudas e insumos"
2667,Best System Indústria Gráfica Ltda - EPP,Impressão gráfica
2668,GOLDEN DISTRIBUIDORA LTDA,Material de escritório e desenho (papelaria)
2668,GOLDEN DISTRIBUIDORA LTDA,Informática (acessórios e equipamentos)
2668,GOLDEN DISTRIBUIDORA LTDA,Informática (softwares)
2668,GOLDEN DISTRIBUIDORA LTDA,Informática (suprimentos)
2668,GOLDEN DISTRIBUIDORA LTDA,Papéis e cartões
2669,Aro 12 Duplicação e Impressão em Mídia Digital Ltda,Impressão gráfica
2669,Aro 12 Duplicação e Impressão em Mídia Digital Ltda,Material e equipamento gráfico
2669,Aro 12 Duplicação e Impressão em Mídia Digital Ltda,Papéis e cartões
2669,Aro 12 Duplicação e Impressão em Mídia Digital Ltda,Serviço de áudio e vídeo
2670,Dsystem Indústria Gráfica Ltda - EPP,Impressão gráfica
2671,BRASLIMPO COMERCIAL LTDA.,Copa e cozinha
2671,BRASLIMPO COMERCIAL LTDA.,Limpeza e higiene
2671,BRASLIMPO COMERCIAL LTDA.,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2671,BRASLIMPO COMERCIAL LTDA.,Produtos químicos
2672,PLATAFORMA COMPUTADORES LTDA,Informática (acessórios e equipamentos)
2672,PLATAFORMA COMPUTADORES LTDA,Informática (softwares)
2673,PROJECTOR VIDEO SERVICE COM MANUT EQUIP MULT LTDA,Audiovisual
2674,SERVIGRAF PRODUTOS E SERVIÇOS EPP,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2674,SERVIGRAF PRODUTOS E SERVIÇOS EPP,Digitalização de textos
2674,SERVIGRAF PRODUTOS E SERVIÇOS EPP,Encadernação de livros/revistas
2674,SERVIGRAF PRODUTOS E SERVIÇOS EPP,Impressão gráfica
2674,SERVIGRAF PRODUTOS E SERVIÇOS EPP,Informática (suprimentos)
2675,IMPA INDÚSTRIA DE MÓVEIS PAULISTA LTDA - EPP,Mobiliário
2676,MAX CENTER MAT PARA CONSTRUÇÃO LTDA ME,Material elétrico
2676,MAX CENTER MAT PARA CONSTRUÇÃO LTDA ME,Material hidráulico
2676,MAX CENTER MAT PARA CONSTRUÇÃO LTDA ME,Material para construção
2676,MAX CENTER MAT PARA CONSTRUÇÃO LTDA ME,Material para pintura
2677,NJG MÓVEIS E DECORAÇÕES LTDA - EPP,Mobiliário
2678,nova jmb comercial ltda,Material elétrico
2678,nova jmb comercial ltda,Material hidráulico
2679,Antonio de Freitas Filho – ME,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2680,JATO COMERCIO DE PRODUTOS INDUSTRIALIZADOS LTDA. EPP,Mobiliário
2681,ENVISION INDÚSTRIA DE PRODUTOS ELETRONICOS LTDA.,Informática (acessórios e equipamentos)
2681,ENVISION INDÚSTRIA DE PRODUTOS ELETRONICOS LTDA.,Informática (suprimentos)
2682,ARTE IMPRESSA EDITORA LTDA.,Impressão gráfica
2682,ARTE IMPRESSA EDITORA LTDA.,Livros
2683,ABAFIRE COMÉRCIO E SERVIÇOS LTDA,Segurança e proteção
2684,A. R. SANTOS & CIA. LTDA,Ferragens e ferramentas
2684,A. R. SANTOS & CIA. LTDA,Material hidráulico
2684,A. R. SANTOS & CIA. LTDA,Material para construção
2685,COMERCAL COMAG LTDA,Informática (acessórios e equipamentos)
2685,COMERCAL COMAG LTDA,Limpeza e higiene
2685,COMERCAL COMAG LTDA,Material elétrico
3856,AMBI & VERDE SERVICOS E COMERCIO PAISAGISTICO LTDA - ME,"Plantas, mudas e insumos"
2687,FFg Comércios de Suprimentos Ltda EPP,Material de escritório e desenho (papelaria)
2687,FFg Comércios de Suprimentos Ltda EPP,Informática (acessórios e equipamentos)
2687,FFg Comércios de Suprimentos Ltda EPP,Informática (suprimentos)
2688,Nectel Soluções Inteligentes em Segurança Ltda-me,Segurança e proteção
2689,ABEX COML IMPORT E EXPORT LTDA - EPP,Material elétrico
2689,ABEX COML IMPORT E EXPORT LTDA - EPP,Material para construção
2689,ABEX COML IMPORT E EXPORT LTDA - EPP,Segurança e proteção
2690,Tintas Lusacor Ltda,Material para pintura
2691,Twist Comércio e Serviços Ltda Me,Madeiras
2691,Twist Comércio e Serviços Ltda Me,Mobiliário
2691,Twist Comércio e Serviços Ltda Me,Serviço de áudio e vídeo
2691,Twist Comércio e Serviços Ltda Me,Serviço de serralheria
2691,Twist Comércio e Serviços Ltda Me,Tapeçaria e decoração
2691,Twist Comércio e Serviços Ltda Me,Vidraçaria
2692,Josmir Comércio de Importação e Exportação Ltda,Ferragens e ferramentas
2693,OUROPEL COMERCIAL LTDA,Copa e cozinha
2693,OUROPEL COMERCIAL LTDA,Informática (suprimentos)
2693,OUROPEL COMERCIAL LTDA,Limpeza e higiene
2693,OUROPEL COMERCIAL LTDA,Material de escritório e desenho (papelaria)
2693,OUROPEL COMERCIAL LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2693,OUROPEL COMERCIAL LTDA,Material e equipamento de laboratório
2693,OUROPEL COMERCIAL LTDA,Médico-hospitalar
2694,SANDRA MARIA NUNES CANHOELLA-EPP,Limpeza e higiene
2696,ENGEVEX EQUIPAMENTOS E SERVIÇOS LTDA,Material elétrico
2696,ENGEVEX EQUIPAMENTOS E SERVIÇOS LTDA,Material hidráulico
2696,ENGEVEX EQUIPAMENTOS E SERVIÇOS LTDA,Obras e serviços na construção civil
2696,ENGEVEX EQUIPAMENTOS E SERVIÇOS LTDA,Segurança e proteção
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Copa e cozinha
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Eletrodomésticos
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Material de escritório e desenho (papelaria)
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Ferragens e ferramentas
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Informática (acessórios e equipamentos)
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Informática (suprimentos)
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Livros
2697,RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP,Mobiliário
2698,AYCA COMERCIO DE MATERIAIS PARA ARTES GRAFICAS LTDA,Impressão gráfica
2698,AYCA COMERCIO DE MATERIAIS PARA ARTES GRAFICAS LTDA,Material e equipamento gráfico
2698,AYCA COMERCIO DE MATERIAIS PARA ARTES GRAFICAS LTDA,Serviço gráfico (manutenção de máquinas e equipamentos)
2699,Milleniuns Comércio de Produtos de Limpeza Ltda-ME,Limpeza e higiene
2699,Milleniuns Comércio de Produtos de Limpeza Ltda-ME,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2700,ARPEL ARTE EM PAPEL LTDA-EPP,Impressão gráfica
2700,ARPEL ARTE EM PAPEL LTDA-EPP,Papéis e cartões
